,link,title
2797,http://pittsburghpa.gov/publicsafety/blotterview/2797,UPDATE: Pittsburgh Police Ask for Public's Help to Find Missing Man - 05.24.2024
2796,http://pittsburghpa.gov/publicsafety/blotterview/2796,Police Investigate Armed Business Robbery in Shadyside - 05.23.2024
2795,http://pittsburghpa.gov/publicsafety/blotterview/2795,UPDATE: Pittsburgh Police Seek Help in Finding Missing 13-Year-Old Girl - 05.21.2024
2794,http://pittsburghpa.gov/publicsafety/blotterview/2794,UPDATE: Pittsburgh Police Seek the Public's Assistance to Find Missing Juvenile - 05.20.2024
2793,http://pittsburghpa.gov/publicsafety/blotterview/2793,"Pittsburgh Fire, EMS, and Police Respond to Fire along Three Rivers Heritage Trail - 05.19.2024"
2791,http://pittsburghpa.gov/publicsafety/blotterview/2791,"Police, Fire, EMS Respond to Vehicle Crash on Saw Mill Run Boulevard - 05.19.2024"
2790,http://pittsburghpa.gov/publicsafety/blotterview/2790,"Female Suffers Graze Gunshot Wound Following Shots Fired, Police Investigate  - 05.19.2024"
2792,http://pittsburghpa.gov/publicsafety/blotterview/2792,Two Patients Transported to the Hospital Following Motorcycle Crash - 05.19.2024
2789,http://pittsburghpa.gov/publicsafety/blotterview/2789,UPDATE: Pittsburgh Police Investigate After Juvenile Arrives at the Hospital with Gunshot Wound - 05.18.2024
2788,http://pittsburghpa.gov/publicsafety/blotterview/2788,UPDATE: Pittsburgh Police Seek the Public's Assistance to Locate a Missing Woman - 05.17.2024
2787,http://pittsburghpa.gov/publicsafety/blotterview/2787,Police Investigate Fatal Overnight Shooting in Duquesne Heights - 05.17.2024
2786,http://pittsburghpa.gov/publicsafety/blotterview/2786,"Violence Prevention Unit Detectives Make Two Arrests, Recover Firearms - 05.16.2024"
2785,http://pittsburghpa.gov/publicsafety/blotterview/2785,Pittsburgh Police Make Arrest in Hill District Homicide  - 05.15.2024
2784,http://pittsburghpa.gov/publicsafety/blotterview/2784,"Police Recover Stolen Vehicle Downtown and Firearm Downtown, One Arrested - 05.14.2024"
2783,http://pittsburghpa.gov/publicsafety/blotterview/2783,Pittsburgh Police Investigate Shots Fired Incident in Squirrel Hill South - 05.14.2024
